"cty","Name","Fraction_Non-White_in_2010"
"cty12079","Madison County, FL",0.4495
"cty08105","Rio Grande County, CO",0.4492
"cty31043","Dakota County, NE",0.448
"cty22097","St. Landry Parish, LA",0.448
"cty04005","Coconino County, AZ",0.4478
"cty04019","Pima County, AZ",0.4474
"cty18089","Lake County, IN",0.4473
"cty05119","Pulaski County, AR",0.4469
"cty45031","Darlington County, SC",0.4468
"cty51135","Nottoway County, VA",0.445
"cty28007","Attala County, MS",0.4446
"cty35041","Roosevelt County, NM",0.4446
"cty01023","Choctaw County, AL",0.4444
"cty48111","Dallam County, TX",0.4441
"cty37191","Wayne County, NC",0.4437
"cty47069","Hardeman County, TN",0.4424
"cty05095","Monroe County, AR",0.4418
"cty01107","Pickens County, AL",0.4416
"cty06021","Glenn County, CA",0.4411
"cty45029","Colleton County, SC",0.4411
"cty51057","Essex County, VA",0.4405
"cty28089","Madison County, MS",0.4403
"cty35057","Torrance County, NM",0.4401
"cty22051","Jefferson Parish, LA",0.4399
"cty35059","Union County, NM",0.4397
"cty13185","Lowndes County, GA",0.4394
"cty13289","Twiggs County, GA",0.4393
"cty12027","DeSoto County, FL",0.4392
"cty35021","Harding County, NM",0.4374
"cty13189","McDuffie County, GA",0.4373
"cty05103","Ouachita County, AR",0.437
"cty13067","Cobb County, GA",0.4369
"cty45037","Edgefield County, SC",0.4369
"cty28043","Grenada County, MS",0.4362
"cty06055","Napa County, CA",0.4361
"cty08109","Saguache County, CO",0.4358
"cty05057","Hempstead County, AR",0.4352
"cty08089","Otero County, CO",0.435
"cty12031","Duval County, FL",0.4344
"cty22031","De Soto Parish, LA",0.4338
"cty13109","Evans County, GA",0.4338
"cty22029","Concordia Parish, LA",0.4319
"cty16033","Clark County, ID",0.4318
"cty51087","Henrico County, VA",0.4305
"cty13003","Atkinson County, GA",0.4297
"cty37147","Pitt County, NC",0.4288
"cty13059","Clarke County, GA",0.4287
"cty48123","DeWitt County, TX",0.4287
"cty22101","St. Mary Parish, LA",0.4279
"cty48021","Bastrop County, TX",0.4277
"cty28005","Amite County, MS",0.4276
"cty53025","Grant County, WA",0.427
"cty48303","Lubbock County, TX",0.4268
"cty13199","Meriwether County, GA",0.4268
"cty31037","Colfax County, NE",0.4264
"cty36119","Westchester County, NY",0.4262
"cty01109","Pike County, AL",0.4259
"cty47037","Davidson County, TN",0.4257
"cty13269","Taylor County, GA",0.4248
"cty13017","Ben Hill County, GA",0.4236
"cty37077","Granville County, NC",0.4234
"cty48415","Scurry County, TX",0.4224
"cty13319","Wilkinson County, GA",0.4218
"cty08025","Crowley County, CO",0.4214
"cty48451","Tom Green County, TX",0.4212
"cty05011","Bradley County, AR",0.4199
"cty13027","Brooks County, GA",0.4198
"cty47113","Madison County, TN",0.4195
"cty46085","Lyman County, SD",0.4192
"cty48421","Sherman County, TX",0.4192
"cty45081","Saluda County, SC",0.419
"cty01017","Chambers County, AL",0.4186
"cty08065","Lake County, CO",0.4183
"cty40101","Muskogee County, OK",0.4174
"cty51149","Prince George County, VA",0.4172
"cty13275","Thomas County, GA",0.4168
"cty13197","Marion County, GA",0.4166
"cty22081","Red River Parish, LA",0.4165
"cty28105","Oktibbeha County, MS",0.4163
"cty28035","Forrest County, MS",0.4159
"cty48471","Walker County, TX",0.4154
"cty04003","Cochise County, AZ",0.4152
"cty22121","West Baton Rouge Parish, LA",0.4144
"cty34001","Atlantic County, NJ",0.4141
"cty48209","Hays County, TX",0.414
"cty04021","Pinal County, AZ",0.4132
"cty37153","Richmond County, NC",0.4132
"cty04013","Maricopa County, AZ",0.4132
"cty48493","Wilson County, TX",0.4132
"cty13183","Long County, GA",0.413
"cty13277","Tift County, GA",0.4129
"cty51117","Mecklenburg County, VA",0.4129
"cty12065","Jefferson County, FL",0.4128
"cty37067","Forsyth County, NC",0.4127
"cty48313","Madison County, TX",0.4123
"cty06115","Yuba County, CA",0.4122
"cty13071","Colquitt County, GA",0.4119
"cty48063","Camp County, TX",0.4115
"cty48309","McLennan County, TX",0.4113
"cty40031","Comanche County, OK",0.4108
"cty08011","Bent County, CO",0.4104
"cty17089","Kane County, IL",0.4099
"cty28153","Wayne County, MS",0.4099
"cty48297","Live Oak County, TX",0.4099
"cty01097","Mobile County, AL",0.4094
"cty48395","Robertson County, TX",0.4092
"cty45023","Chester County, SC",0.4089
"cty37095","Hyde County, NC",0.4086
"cty48041","Brazos County, TX",0.4085
"cty24027","Howard County, MD",0.4079
"cty05027","Columbia County, AR",0.4076
"cty40109","Oklahoma County, OK",0.4075
"cty48167","Galveston County, TX",0.4073
"cty37105","Lee County, NC",0.4069
"cty12073","Leon County, FL",0.4066
"cty35011","De Baca County, NM",0.4065
"cty13309","Wheeler County, GA",0.4064
"cty13131","Grady County, GA",0.4051
"cty40015","Caddo County, OK",0.4048
"cty18097","Marion County, IN",0.4046
"cty13267","Tattnall County, GA",0.4045
"cty22073","Ouachita Parish, LA",0.4043
"cty48191","Hall County, TX",0.4041
"cty06087","Santa Cruz County, CA",0.4039
"cty13175","Laurens County, GA",0.4029
"cty48089","Colorado County, TX",0.4014
"cty51111","Lunenburg County, VA",0.4014
"cty48349","Navarro County, TX",0.4011
"cty13315","Wilcox County, GA",0.401
"cty28009","Benton County, MS",0.401
"cty20061","Geary County, KS",0.4009
"cty05073","Lafayette County, AR",0.4005
"cty28099","Neshoba County, MS",0.4003
"cty51175","Southampton County, VA",0.4002
"cty28161","Yalobusha County, MS",0.4001
"cty12099","Palm Beach County, FL",0.3989
"cty48175","Goliad County, TX",0.3985
"cty51083","Halifax County, VA",0.3984
"cty30087","Rosebud County, MT",0.3982
"cty13285","Troup County, GA",0.3973
"cty34007","Camden County, NJ",0.3972
